"Agent","Cycle","Vertical","Priority","KPI","File"
"TerritoryBalancer","cycle-10","Logistics/Supply Chain","eficiência operacional e previsibilidade","OTIF, lead time, custo por rota",".github/agents/cycle-10/territory-balancer.agent.md"
"ToolROIAnalyzer","cycle-10","Logistics/Supply Chain","eficiência operacional e previsibilidade","OTIF, lead time, custo por rota",".github/agents/cycle-10/tool-roi-analyzer.agent.md"
"ValidationRuleEnforcer","cycle-10","Logistics/Supply Chain","eficiência operacional e previsibilidade","OTIF, lead time, custo por rota",".github/agents/cycle-10/validation-rule-enforcer.agent.md"
"VoicePitchGrader","cycle-10","Logistics/Supply Chain","eficiência operacional e previsibilidade","OTIF, lead time, custo por rota",".github/agents/cycle-10/voice-pitch-grader.agent.md"
"WebhookMonitor","cycle-10","Logistics/Supply Chain","eficiência operacional e previsibilidade","OTIF, lead time, custo por rota",".github/agents/cycle-10/webhook-monitor.agent.md"
"ABTestSynthesizer","cycle-11","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-11/ab-test-synthesizer.agent.md"
"AnomalyDetector","cycle-11","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-11/anomaly-detector.agent.md"
"ARRBridgeBuilder","cycle-11","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-11/arr-bridge-builder.agent.md"
"AttributionModeler","cycle-11","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-11/attribution-modeler.agent.md"
"AudienceSegmentDiscoverer","cycle-11","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-11/audience-segment-discoverer.agent.md"
"CampaignDecayPredictor","cycle-11","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-11/campaign-decay-predictor.agent.md"
"ChurnCohortIsolator","cycle-11","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-11/churn-cohort-isolator.agent.md"
"CompetitorFinancialScraper","cycle-11","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-11/competitor-financial-scraper.agent.md"
"DashboardAutoFreshener","cycle-11","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-11/dashboard-auto-freshener.agent.md"
"DataCleaningBot","cycle-11","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-11/data-cleaning-bot.agent.md"
"FeatureHeatmapper","cycle-11","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-11/feature-heatmapper.agent.md"
"GeospatialExpansionMapper","cycle-11","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-11/geospatial-expansion-mapper.agent.md"
"JourneyDropOffLocator","cycle-11","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-11/journey-drop-off-locator.agent.md"
"LTVbyChannelCalculator","cycle-11","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-11/ltv-by-channel-calculator.agent.md"
"MacroFactorTracker","cycle-11","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-11/macro-factor-tracker.agent.md"
"MarketShareEstimator","cycle-11","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-11/market-share-estimator.agent.md"
"MediaMixOptimizer","cycle-11","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-11/media-mix-optimizer.agent.md"
"NetRetentionModeler","cycle-11","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-11/net-retention-modeler.agent.md"
"PipelineVelocityTracker","cycle-11","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-11/pipeline-velocity-tracker.agent.md"
"PricingElasticityTester","cycle-11","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-11/pricing-elasticity-tester.agent.md"
"ProcessFlowMapper","cycle-11","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-11/process-flow-mapper.agent.md"
"RequirementsGatherer","cycle-11","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-11/requirements-gatherer.agent.md"
"ScopeCreepDetector","cycle-11","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-11/scope-creep-detector.agent.md"
"SessionReplaySummarizer","cycle-11","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-11/session-replay-summarizer.agent.md"
"SQLQueryGenerator","cycle-11","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-11/sql-query-generator.agent.md"
"StakeholderUpdateAutomator","cycle-11","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-11/stakeholder-update-automator.agent.md"
"StatSignificanceTester","cycle-11","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-11/stat-significance-tester.agent.md"
"StickinessTracker","cycle-11","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-11/stickiness-tracker.agent.md"
"StrategicKPIAggregator","cycle-11","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-11/strategic-kpi-aggregator.agent.md"
"UserStoryWriter","cycle-11","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-11/user-story-writer.agent.md"
"BadDebtPredictor","cycle-12","Legal/Compliance Services","segurança jurídica e rastreabilidade","não conformidade, tempo de revisão",".github/agents/cycle-12/bad-debt-predictor.agent.md"
"CloudSpendOptimizer","cycle-12","Legal/Compliance Services","segurança jurídica e rastreabilidade","não conformidade, tempo de revisão",".github/agents/cycle-12/cloud-spend-optimizer.agent.md"
"CollectionAgencyRouter","cycle-12","Legal/Compliance Services","segurança jurídica e rastreabilidade","não conformidade, tempo de revisão",".github/agents/cycle-12/collection-agency-router.agent.md"
"ContractRedliner","cycle-12","Legal/Compliance Services","segurança jurídica e rastreabilidade","não conformidade, tempo de revisão",".github/agents/cycle-12/contract-redliner.agent.md"
"DisputedChargeAggregator","cycle-12","Legal/Compliance Services","segurança jurídica e rastreabilidade","não conformidade, tempo de revisão",".github/agents/cycle-12/disputed-charge-aggregator.agent.md"
"DunningAutomator","cycle-12","Legal/Compliance Services","segurança jurídica e rastreabilidade","não conformidade, tempo de revisão",".github/agents/cycle-12/dunning-automator.agent.md"
"FailedPaymentRetrier","cycle-12","Legal/Compliance Services","segurança jurídica e rastreabilidade","não conformidade, tempo de revisão",".github/agents/cycle-12/failed-payment-retrier.agent.md"
"InstanceRightSizer","cycle-12","Legal/Compliance Services","segurança jurídica e rastreabilidade","não conformidade, tempo de revisão",".github/agents/cycle-12/instance-right-sizer.agent.md"
"InvoiceGenerator","cycle-12","Legal/Compliance Services","segurança jurídica e rastreabilidade","não conformidade, tempo de revisão",".github/agents/cycle-12/invoice-generator.agent.md"
"IPInfringementScraper","cycle-12","Legal/Compliance Services","segurança jurídica e rastreabilidade","não conformidade, tempo de revisão",".github/agents/cycle-12/ip-infringement-scraper.agent.md"
"NDAAutoSigner","cycle-12","Legal/Compliance Services","segurança jurídica e rastreabilidade","não conformidade, tempo de revisão",".github/agents/cycle-12/nda-auto-signer.agent.md"
"PaymentPlanNegotiator","cycle-12","Legal/Compliance Services","segurança jurídica e rastreabilidade","não conformidade, tempo de revisão",".github/agents/cycle-12/payment-plan-negotiator.agent.md"
"PromiseToPayTracker","cycle-12","Legal/Compliance Services","segurança jurídica e rastreabilidade","não conformidade, tempo de revisão",".github/agents/cycle-12/promise-to-pay-tracker.agent.md"
"ProrationCalculator","cycle-12","Legal/Compliance Services","segurança jurídica e rastreabilidade","não conformidade, tempo de revisão",".github/agents/cycle-12/proration-calculator.agent.md"
"RegulatoryChangeAlerter","cycle-12","Legal/Compliance Services","segurança jurídica e rastreabilidade","não conformidade, tempo de revisão",".github/agents/cycle-12/regulatory-change-alerter.agent.md"
"RiskExposureQuantifier","cycle-12","Legal/Compliance Services","segurança jurídica e rastreabilidade","não conformidade, tempo de revisão",".github/agents/cycle-12/risk-exposure-quantifier.agent.md"
"SaaSLicenseAuditor","cycle-12","Legal/Compliance Services","segurança jurídica e rastreabilidade","não conformidade, tempo de revisão",".github/agents/cycle-12/saas-license-auditor.agent.md"
"TaxExemptionVerifier","cycle-12","Legal/Compliance Services","segurança jurídica e rastreabilidade","não conformidade, tempo de revisão",".github/agents/cycle-12/tax-exemption-verifier.agent.md"
"AccrualEngine","cycle-13","Legal/Compliance Services","segurança jurídica e rastreabilidade","não conformidade, tempo de revisão",".github/agents/cycle-13/accrual-engine.agent.md"
"AgingReportSender","cycle-13","Legal/Compliance Services","segurança jurídica e rastreabilidade","não conformidade, tempo de revisão",".github/agents/cycle-13/aging-report-sender.agent.md"
"AuditTrailBuilder","cycle-13","Legal/Compliance Services","segurança jurídica e rastreabilidade","não conformidade, tempo de revisão",".github/agents/cycle-13/audit-trail-builder.agent.md"
"BankReconciliationBot","cycle-13","Legal/Compliance Services","segurança jurídica e rastreabilidade","não conformidade, tempo de revisão",".github/agents/cycle-13/bank-reconciliation-bot.agent.md"
"BankruptcyRiskMonitor","cycle-13","Legal/Compliance Services","segurança jurídica e rastreabilidade","não conformidade, tempo de revisão",".github/agents/cycle-13/bankruptcy-risk-monitor.agent.md"
"BudgetVariancePinger","cycle-13","Legal/Compliance Services","segurança jurídica e rastreabilidade","não conformidade, tempo de revisão",".github/agents/cycle-13/budget-variance-pinger.agent.md"
"CashAppMatcher","cycle-13","Legal/Compliance Services","segurança jurídica e rastreabilidade","não conformidade, tempo de revisão",".github/agents/cycle-13/cash-app-matcher.agent.md"
"ComplianceChecklistEnforcer","cycle-13","Legal/Compliance Services","segurança jurídica e rastreabilidade","não conformidade, tempo de revisão",".github/agents/cycle-13/compliance-checklist-enforcer.agent.md"
"CreditHoldReleaser","cycle-13","Legal/Compliance Services","segurança jurídica e rastreabilidade","não conformidade, tempo de revisão",".github/agents/cycle-13/credit-hold-releaser.agent.md"
"CreditLimitRecommender","cycle-13","Legal/Compliance Services","segurança jurídica e rastreabilidade","não conformidade, tempo de revisão",".github/agents/cycle-13/credit-limit-recommender.agent.md"
"CreditScoreFetcher","cycle-13","Legal/Compliance Services","segurança jurídica e rastreabilidade","não conformidade, tempo de revisão",".github/agents/cycle-13/credit-score-fetcher.agent.md"
"FinancialRatioCalculator","cycle-13","Legal/Compliance Services","segurança jurídica e rastreabilidade","não conformidade, tempo de revisão",".github/agents/cycle-13/financial-ratio-calculator.agent.md"
"GLAnomalyDetector","cycle-13","Legal/Compliance Services","segurança jurídica e rastreabilidade","não conformidade, tempo de revisão",".github/agents/cycle-13/gl-anomaly-detector.agent.md"
"MonthEndCloseAutomator","cycle-13","Legal/Compliance Services","segurança jurídica e rastreabilidade","não conformidade, tempo de revisão",".github/agents/cycle-13/month-end-close-automator.agent.md"
"MultiCloudCostModeler","cycle-13","Legal/Compliance Services","segurança jurídica e rastreabilidade","não conformidade, tempo de revisão",".github/agents/cycle-13/multi-cloud-cost-modeler.agent.md"
"RemittanceExtractor","cycle-13","Legal/Compliance Services","segurança jurídica e rastreabilidade","não conformidade, tempo de revisão",".github/agents/cycle-13/remittance-extractor.agent.md"
"TradeReferenceChecker","cycle-13","Legal/Compliance Services","segurança jurídica e rastreabilidade","não conformidade, tempo de revisão",".github/agents/cycle-13/trade-reference-checker.agent.md"
"AddressProofValidator","cycle-14","Fintech","risco-compliance e escala segura","default rate, fraude, aprovação segura",".github/agents/cycle-14/address-proof-validator.agent.md"
"AuditPrepEngine","cycle-14","Fintech","risco-compliance e escala segura","default rate, fraude, aprovação segura",".github/agents/cycle-14/audit-prep-engine.agent.md"
"ChargebackDisputeAutomator","cycle-14","Fintech","risco-compliance e escala segura","default rate, fraude, aprovação segura",".github/agents/cycle-14/chargeback-dispute-automator.agent.md"
"CommsSurveillanceBot","cycle-14","Fintech","risco-compliance e escala segura","default rate, fraude, aprovação segura",".github/agents/cycle-14/comms-surveillance-bot.agent.md"
"CryptoTracingBot","cycle-14","Fintech","risco-compliance e escala segura","default rate, fraude, aprovação segura",".github/agents/cycle-14/crypto-tracing-bot.agent.md"
"HighRiskJurisdictionPinger","cycle-14","Fintech","risco-compliance e escala segura","default rate, fraude, aprovação segura",".github/agents/cycle-14/high-risk-jurisdiction-pinger.agent.md"
"IDVerificationMatcher","cycle-14","Fintech","risco-compliance e escala segura","default rate, fraude, aprovação segura",".github/agents/cycle-14/id-verification-matcher.agent.md"
"LivenessCheckAnalyzer","cycle-14","Fintech","risco-compliance e escala segura","default rate, fraude, aprovação segura",".github/agents/cycle-14/liveness-check-analyzer.agent.md"
"MoneyMuleDetector","cycle-14","Fintech","risco-compliance e escala segura","default rate, fraude, aprovação segura",".github/agents/cycle-14/money-mule-detector.agent.md"
"PEPScreener","cycle-14","Fintech","risco-compliance e escala segura","default rate, fraude, aprovação segura",".github/agents/cycle-14/pep-screener.agent.md"
"PolicyMappingBot","cycle-14","Fintech","risco-compliance e escala segura","default rate, fraude, aprovação segura",".github/agents/cycle-14/policy-mapping-bot.agent.md"
"RegulatoryTrainingTracker","cycle-14","Fintech","risco-compliance e escala segura","default rate, fraude, aprovação segura",".github/agents/cycle-14/regulatory-training-tracker.agent.md"
"SanctionsScreener","cycle-14","Fintech","risco-compliance e escala segura","default rate, fraude, aprovação segura",".github/agents/cycle-14/sanctions-screener.agent.md"
"SARDrafter","cycle-14","Fintech","risco-compliance e escala segura","default rate, fraude, aprovação segura",".github/agents/cycle-14/sar-drafter.agent.md"
"SyntheticIdentityDetector","cycle-14","Fintech","risco-compliance e escala segura","default rate, fraude, aprovação segura",".github/agents/cycle-14/synthetic-identity-detector.agent.md"
"TransactionLinkAnalyzer","cycle-14","Fintech","risco-compliance e escala segura","default rate, fraude, aprovação segura",".github/agents/cycle-14/transaction-link-analyzer.agent.md"
"UBOMapper","cycle-14","Fintech","risco-compliance e escala segura","default rate, fraude, aprovação segura",".github/agents/cycle-14/ubo-mapper.agent.md"
"VelocityRuleEngine","cycle-14","Fintech","risco-compliance e escala segura","default rate, fraude, aprovação segura",".github/agents/cycle-14/velocity-rule-engine.agent.md"
"AccessRightAuditor","cycle-15","Fintech","risco-compliance e escala segura","default rate, fraude, aprovação segura",".github/agents/cycle-15/access-right-auditor.agent.md"
"AltDataScorer","cycle-15","Fintech","risco-compliance e escala segura","default rate, fraude, aprovação segura",".github/agents/cycle-15/alt-data-scorer.agent.md"
"AutoDecisionEngine","cycle-15","Fintech","risco-compliance e escala segura","default rate, fraude, aprovação segura",".github/agents/cycle-15/auto-decision-engine.agent.md"
"CapacityModeler","cycle-15","Fintech","risco-compliance e escala segura","default rate, fraude, aprovação segura",".github/agents/cycle-15/capacity-modeler.agent.md"
"CapitalAdequacyCalculator","cycle-15","Fintech","risco-compliance e escala segura","default rate, fraude, aprovação segura",".github/agents/cycle-15/capital-adequacy-calculator.agent.md"
"CentralBankXMLGenerator","cycle-15","Fintech","risco-compliance e escala segura","default rate, fraude, aprovação segura",".github/agents/cycle-15/central-bank-xml-generator.agent.md"
"DeadlineTracker","cycle-15","Fintech","risco-compliance e escala segura","default rate, fraude, aprovação segura",".github/agents/cycle-15/deadline-tracker.agent.md"
"DefaultProbabilityModeler","cycle-15","Fintech","risco-compliance e escala segura","default rate, fraude, aprovação segura",".github/agents/cycle-15/default-probability-modeler.agent.md"
"DeviceFingerprintMatcher","cycle-15","Fintech","risco-compliance e escala segura","default rate, fraude, aprovação segura",".github/agents/cycle-15/device-fingerprint-matcher.agent.md"
"FalsePositiveReducer","cycle-15","Fintech","risco-compliance e escala segura","default rate, fraude, aprovação segura",".github/agents/cycle-15/false-positive-reducer.agent.md"
"IncidentPostMortemDrafter","cycle-15","Fintech","risco-compliance e escala segura","default rate, fraude, aprovação segura",".github/agents/cycle-15/incident-post-mortem-drafter.agent.md"
"LimitDecreaseRecommender","cycle-15","Fintech","risco-compliance e escala segura","default rate, fraude, aprovação segura",".github/agents/cycle-15/limit-decrease-recommender.agent.md"
"LiquidityRatioMonitor","cycle-15","Fintech","risco-compliance e escala segura","default rate, fraude, aprovação segura",".github/agents/cycle-15/liquidity-ratio-monitor.agent.md"
"ProcessWalkthroughAutomator","cycle-15","Fintech","risco-compliance e escala segura","default rate, fraude, aprovação segura",".github/agents/cycle-15/process-walkthrough-automator.agent.md"
"RemediationPlanTracker","cycle-15","Fintech","risco-compliance e escala segura","default rate, fraude, aprovação segura",".github/agents/cycle-15/remediation-plan-tracker.agent.md"
"SLAEscalator","cycle-15","Fintech","risco-compliance e escala segura","default rate, fraude, aprovação segura",".github/agents/cycle-15/sla-escalator.agent.md"
"StressTestModeler","cycle-15","Fintech","risco-compliance e escala segura","default rate, fraude, aprovação segura",".github/agents/cycle-15/stress-test-modeler.agent.md"
"TransactionHoldReviewer","cycle-15","Fintech","risco-compliance e escala segura","default rate, fraude, aprovação segura",".github/agents/cycle-15/transaction-hold-reviewer.agent.md"
